"GLAVNI PROJEKTANT: Silva Grubešić Horvat, dipl.ing.arh., A 2191
TROŠKOVNIK: KEOPS-PROJEKT d.o.o., Zagreb
IZRADIO: Vedran Subotić, struč.spec.ing.aedif., G5923
Z.O.C.P.: PBV-1/25, travanj 2025.",,REKONSTRUKCIJA POSTOJEĆE POSLOVNE GRAĐEVINE TRGOVAČKE I UREDSKE NAMJENE – TRGOVAČKI CENTAR EUROSPIN,,,"INVESTITOR:
EUROSPIN HRVATSKA d.o.o.
Rijeka, Jelačićev trg 7"
8.1.1.n,"Niveliranje poklopaca revizionih okana, kanalizacije, zasunskih komora, kućišta hidranata, hidrantskih ormarića, vodomjernih okana, vodozatvarača, el. šahtova i drugih instalacija koje ostaju u funkciji nakon izgradnje prometnih površina.
Ovim radovima obuhvaćeno je:
• demontiranje poklopca i okvira, te ponovno postavljanje na projektiranu visinu
• rušenje, dobetoniranje betonske ploče i zidova do visine okolne prometne površine
• odvoz viška materijala
• dobava ispostavljane oplate, doprema i ugradnja betona uz geodetsko praćenje visinskih kota.
Uračunat je sav potreban pribor i materijal.
Obračun po komadu kompletno niveliranog okna.",kom,24,175,4200
,,,,,0
8.1.2,Glavni iskop vanjskih površina,,,,0
,Strojni široki iskop na donju kotu temeljnog nosivog sloja kolničkih konstrukcija sa direktnim utovarom u transporter i odvozom na javno odlagalište otpada ili odvoz na privremenu deponiju zbog kasnije ugradnje.,,,,0
,"Završni sloj iskopa je potrebno zbiti do vrijednosti Ms 40 MPa. Ako traženu vrijednost nije moguće postići, treba izvesti intervenciju za povećanje nosivosti tla u vidu polaganja geotekstila, izvedbe stablizacije ili zamjene materijala u debljini koju odredi geomehaničar ili nadzorni inženjer.",,,,0
,Tlo B i C kategorije.,,,,0
,Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - točka 9.1.2,,,,0
,Obračun po m3.,m3,253,7,1771
,,,,,0
8.3,NASIPAVANJA,,,,0
