,,,,,,,
,,,,,,,
,,,,,,,
,0.3.1.1.6.c.,"nadstrešnica na visini do cca 3,5 m",m²,3.5,5,17.5,
,0.3.1.1.6.d.,obloga atike,m²,66.47,5,332.35,
,,,,,,884.85,
,,,,,,,
,0.3.1.1.7.,"Demontaža čelične nosive konstrukcije autosalona i autopraonice. Konstrukcija se sastoji od vertikalne nosive konstrukcije (čeličnih stupova) i čelične konstrukcije ravnog krova i nadstrešnice.
Uključivo potreban rad, sortiranje uklonjenog materijala po vrstama otpada, horizontalni i vertikalni transport na gradilištu, te odvoz na gradski deponij.
Obračun po m2 ortogonalne projekcije kompletne konstrukcije.",,,,,
,0.3.1.1.7.a.,,m²,337,10.5,3538.5,
,,,,,,,
,0.3.1.1.8.,"Demontaža čelične konstrukcije konzolnih nadstrešnica. Konstrukcija se sastoji od konzolne nosive čelične konstrukcije, čeličnih zatega i/ili sl.
Uključivo potreban rad, sortiranje uklonjenog materijala po vrstama otpada, horizontalni i vertikalni transport na gradilištu, te odvoz na gradski deponij.
Obračun po m2 ortogonalne projekcije kompletne konstrukcije.",,,,,
,0.3.1.1.8.a.,,m²,110.5,10.5,1160.25,
,,,,,,,
,0.3.1.1.9.,"Demontaža čelične konstrukcije za reklame. Konstrukcija se sastoji od konzolne nosive čelične konstrukcije učvršćene u zid i/ili sl.
Uključivo potreban rad, sortiranje uklonjenog materijala po vrstama otpada, horizontalni i vertikalni transport na gradilištu, te odvoz na gradski deponij.
Obračun po m2 ortogonalne projekcije kompletne konstrukcije.",,,,,
,0.3.1.1.9.a.,,m²,10,10.5,105,
,,,,,,,
,0.3.1.1.10.,"Pažljivo rušenje (izrezivanje) armirano betonske konstrukcije konzolnih nadstrešnica. Konstrukcija se sastoji od konzolne AB ploče duljine 90 i 160 cm. Kod rušenja u cijenu stavke treba uključiti potrebna podupiranja - prihvat izrezanih elemenata i sva potrebna osiguranja. Rušenja treba vršiti rezanjem dijamantnom pilom. Uključivo uredno izveden rub prema dijelu zida koji se ne ruši.
Uključivo potreban rad, sortiranje uklonjenog materijala po vrstama otpada, horizontalni i vertikalni transport na gradilištu, te odvoz na gradski deponij.
Obračun po m2 ortogonalne projekcije kompletne konstrukcije.",,,,,
,0.3.1.1.10.a.,Stavka je alternativna koliko se utvrdi da nadstrešnice nemaju čeličnu nego AB konstrukciju,m²,32.5,88.32,2870.4,
,,,,,,,
,0.3.1.1.11.,"Rušenje (uklanjanje) armiranobetonskog unutarnjeg stubišta između podruma i prizemlja, koje se sastoji od dva kraka s ukupno 21 stubom i podesta, obloženog keramičkim pločicama. Kod rušenja u cijenu stavke treba uključiti potrebna podupiranja - prihvat izrezanih elemenata te potrebna osiguranja. Rušenja treba vršiti rezanjem dijamantnom pilom. Komadi do max 200 kg kontinuirano se iznose van zgrade (bez gomilanja na zgradi), utovaruju u kamion i odvoze na gradsku deponiju a to je uključeno u cijenu stavke komplet sa postotkom na rastresitost. Obračun po m2 što uključuje bušenje rupa, rezanje i/ili sl., u svemu do potpuno uklonjenog dvokrakog stubišta.
Uključivo potrebna skela, horizontalni i vertikalni transport na gradilištu, te odvoz na gradski deponij.
Obračun po m2 tlocrtne projekcije komplet. uklonjenog stubišta.",,,,,
,0.3.1.1.11.a.,,m²,10.3,126.72,1305.216,
,,,,,,,
,0.3.1.1.12.,"Rušenje (uklanjanje) armiranobetonskog unutarnjeg stubišta između prizemlja i međukata, koje se sastoji od dva kraka s ukupno 16 stuba i dva podesta, obloženog keramičkim pločicama. Kod rušenja u cijenu stavke treba uključiti potrebna podupiranja - prihvat izrezanih elemenata te potrebna osiguranja. Rušenja treba vršiti rezanjem dijamantnom pilom. Komadi do max 200 kg kontinuirano se iznose van zgrade (bez gomilanja na zgradi), utovaruju u kamion i odvoze na gradsku deponiju a to je uključeno u cijenu stavke komplet sa postotkom na rastresitost. Obračun po m2 što uključuje bušenje rupa, rezanje i/ili sl., u svemu do potpuno uklonjenog dvokrakog stubišta.
Uključivo potrebna skela, horizontalni i vertikalni transport na gradilištu, te odvoz na gradski deponij.
Obračun po m2 tlocrtne projekcije komplet. uklonjenog stubišta.",,,,,
,0.3.1.1.12.a.,,komad,15.24,126.72,1931.2128,
,,,,,,,
