Kod,Vrsta,Kratki opis,Dugi opis,,,,
402.010.00165,,-'Protupožarna obloga krovnog trapeznog lima.-,"Protupožarna obloga krovnog trapeznog lima.
S donje strane obložiti sa dvije protupožarne ploče tipa Knauf Fireboard 2x20 mm. Vatrootpornost sustava REI 90. Prostor između ploča i lima ispuniti kamenom vunom minimalne gustoće veće od 70 kg/m³. Na slobodnim rubovima obloge izvesti češalj prema trapeznom limu (ako obloga okomita na val lima) ili prepustiti jednu vertikalne ploče do vrha lima (ako je obloga paralelna s valom lima te završava u tlocrtnoj projekciji višeg vala), a spojeve brtviti protupožarnim trajno elastičnim kitom. Završna obrada kvalitete Q2. Sve izvesti prema uputama odabranog proizvođača sustava, te uključiti sav rad i materijal potreban za izradu kompletne funkcionalne cjeline.",310,m2,47.6593774200867,14774.41
402.010.00167,,-'ispuna međuprostora između krovne ploče stubišta i trapeznog lima,"Ispuna međuprostora između krovne AB ploče stubišta i trapeznog lima. Međuprostor kompletno ispuniti negorivom izolacijom (mineralnom vunom), prema detalju.
Debljina toplinske izolacije varijabilne visine (prema detalju u projektu), cca 30cm debljine.",17,m2,60.6573894437467,1031.18
402.010.00170,,- Protupožarna obloga čeličnih konzola.,"Protupožarna obloga čeličnih konzola.
Obloga čeličnih konzola ispod trapeznog lima (kao horizontalni rešetkasti nosač) s svih strana (4 strane, od kojih je gornja neposredni ispod trapeznog lima), kako bi se postigla vatrootpornost konzole REI 90. Obložiti sa dvije protupožarne ploče 2x20 mm, tip kao Knauf Fireboard. Prostor između ploča i lima ispuniti kamenom vunom minimalne gustoće veće od 70 kg/m3 Na slobodnim rubovima obloge izvesti češalj prema trapeznom limu (ako obloga okomita na val lima) ili prepustiti jednu vertikalne ploče do vrha lima (ako je obloga paralelna s valom lima te završava u tlocrtnoj projekciji višeg vala), a spojeve brtviti protupožarnim trajno elastičnim kitom. Završna obrada kvalitete Q2. Sve izvesti prema uputama odabranog proizvođača sustava, te uključiti sav rad i materijal potreban za izradu kompletne funkcionalne cjeline. Obračun po m1 kompletno obrađene konzole.
Razvijena širina obloge: 300cm",225,m,47.6593774200867,10723.36
402.010.00171,,- Protupožarna obloga čeličnih konzola.,"Protupožarna obloga čeličnih konzola.
Obloga čeličnih nosača ispod trapeznog lima (kao horizontalni rešetkasti nosač) s svih strana (4 strane, od kojih je gornja neposredni ispod trapeznog lima), kako bi se postigla vatrootpornost konzole REI 90. Obložiti sa dvije protupožarne ploče 2x20 mm, tip kao Knauf Fireboard. Prostor između ploča i lima ispuniti kamenom vunom minimalne gustoće veće od 70 kg/m3 Na slobodnim rubovima obloge izvesti češalj prema trapeznom limu (ako obloga okomita na val lima) ili prepustiti jednu vertikalne ploče do vrha lima (ako je obloga paralelna s valom lima te završava u tlocrtnoj projekciji višeg vala), a spojeve brtviti protupožarnim trajno elastičnim kitom. Završna obrada kvalitete Q2. Sve izvesti prema uputama odabranog proizvođača sustava, te uključiti sav rad i materijal potreban za izradu kompletne funkcionalne cjeline. Obračun po m1 kompletno obrađene konzole.
Razvijena širina obloge: 100cm",13,m,47.66,619.58
402.010.00175,,- Doplata za razliku u cijenu zamjene dvija GKB ploča sa GKBI impregniranim pločama,"Doplata za razliku u cijenu zamjene dvija GKB ploča sa GKBI impregniranim pločama

Obračunava se samo razlika u cijena za ugradnju dviju laga jedne strane.",120,m2,6,720
402.010.00180,,x... RS13 - zaštita ruba zida koncesionara,"Dobava i postava plastificirane zaštite od čeličnog lima debljine 1mm na prednju stranu GK zida koncesionara. Visina ugradnje do blende koncesionara

Boja: RAL 9010 – čisto bijelo
Razvijena širina: 0,49 m
Visina: 3,00 m",2,kom,151.643473609367,303.29
402.010.00185,,"x..TW2.1..x - gipskartonski zid debljine [112.5] mm, jednostrano vlaknocementna ploča","Izrada pregradnog montažnog zida od vlaknocementnih ploča oznake TW2.1:
• vlaknocementna vodootporna pločam jednostruka obloga 1x1,25cm
• jednostruka metalna potkonstrukcija (CW [ 100mm ]) za elastični ovjes gips-kartonskih ploča, bez ispune
Svi spojevi moraju biti ljepljeni, bandažirani i gletani, fugirani, s obje strane pripremljeno za bojanje, bez bojanja. Izvedba do gotove funkcionalnosti a sve prema standardnim detaljima proizvođača sustava.

Debljina zida: [ 112,5 ] mm
Visina zida: do [ 2,20 ] m
Kvaliteta gleta: Q - [ 2 ]
Mjesto ugradnje: 04.08. Prostorija strojeva za čišćenje",25,m2,37,925
402.010.00190,,- obloga vlaknocementnim pločama,"Dobava i i oblaganje potkonstrukcije za vanjske HOVAL jedinice (POZ 301 i 303) od vlaknocementnih ploča:

• vanjska vlaknocementna vodootporna ploča -jednostruka obloga 1x1,25cm (montirati NA vanjsku stranu čelične potkonstrukcije)
• unutarnja vlaknocementna vodootporna ploča -jednostruka obloga 1x1,25cm (poravnato s unutarnjim rubom čelične konstrukcije- NE ulaziti u svijetle dimenzije čeličnog okna!)
Svi spojevi moraju biti ljepljeni, bandažirani i gletani, fugirani, bez bojanja. Izvedba do gotove funkcionalnosti a sve prema standardnim detaljima proizvođača sustava.

Stavka uključuje Obostranu parnu branu te ispunu MW.",15,m2,37,555
402.010.00195,,"- požarno brtvljenje, prodori u zidu","Izvođenje protupožarnog brtvljenja prodora vodovodnih i kanalizacijskih cijevi na mjestima prolaska cijevnog razvoda između dva požarna sektora. Prodori vodovodnih instalacija brtviti će se sredstvima klase vatrootpornosti „R“, atestiranim prema normi HRN DIN 4102 dio 11. Manje fuge (do 3,0 cm) oko metalnih cijevi i električnih kablova zatvoriti će se protupožarnim kitom kao tipa «PROMASEAL». Za veće otvore koristiti će se protupožarni mort, kabelski blokovi, protupožarni jastuci i sistemski čepovi kao tipa «PROMASTOP». Prodori gorivih cijevi, promjera većeg od 30 mm brtviti će se protupožarnim obujmicama (manžetama) kao tipa «PROMASTOP». U stavku ulaze svi radovi i materijali potrebni za kvalitetno izvođenje brtvljenja, kao i oznake brtvi (naljepnice).
Protupožarno brtvljenje vodovodnih cijevi d15 - 1 KOM Protupožarno brtvljenje vodovodnih cijevi d20 - 7 KOM Protupožarno brtvljenje vodovodnih cijevi d32 - 3 KOM Protupožarno brtvljenje vodovodnih cijevi d40 - 2 KOM Protupožarno brtvljenje vodovodnih pč cijevi d80 - 3 KOM Protupožarno brtvljenje vodovodnih pč cijevi d50 - 3 KOM Protupožarno brtvljenje kanalizacijskih PVC cijevi d75 - 1 KOM Protupožarno brtvljenje kanalizacijskih PVC cijevi d100 - 1 KOM - u cijenu uključen i elaborat",21,kom,55,1155
402.020,,Blende i parapetni zidovi,,,,,6036.83
