,,,,,
6.,"Nabava materijala, dovoz i montaža opšava oko dimnjaka iz objekta, od aluminijskog lima d=0,55 mm. Uključeni potrebni nosači, pričvrsni materijal i pribor. Dim. 34x34 cm.",kom,1,82,82
7.,"Nabava materijala, dovoz i montaža opšava oko dimnjaka kamina, od aluminijskog lima d=0,55 mm. Uključeni potrebni nosači, pričvrsni materijal i pribor. Dim. 65x75 cm.",kom,1,125,125
8.,"Nabava materijala, dovoz i montaža opšava na vrhu zida atike, od aluminijskog lima d=0,55 mm. Uključeni potrebni nosači, pričvrsni materijal i pribor. R.š. 36 cm.",m′,38.4,32,1228.8
9.,"Nabava materijala, dovoz i montaža opšava na vrhu zida atike, od aluminijskog lima d=0,55 mm. Uključeni potrebni nosači, pričvrsni materijal i pribor. R.š. 28 cm.",m′,14.5,28,406
,,,,,
,LIMARSKI RADOVI,,UKUPNO:,EURA,5103.1
,,,,,
,8. KERAMIČARSKI RADOVI,,,,
,,,,,
1.,"Nabava materijala, dovoz i postavljanje podnih keramičkih pločica unutar objekta, pomoću fleksibilnog građevinskog ljepila. Keramičke pločice su I.klase. U cijenu uključeno fugiranje keramičkih pločica fuger masom u tonu prema izboru investitora. Pločice se postavljaju pomoću distancera (baze) i pvc kajli.",m²,61,48,2928
2.,"Nabava materijala, dovoz i postavljanje sokla od  keramičkih pločica na sudaru unutarnjih zidova i podova pomoću fleksibilnog građevinskog ljepila. Soklo je od keramičkih pločica I.klase visine do 10 cm. U cijenu uključeno fugiranje keramičkih pločica fuger masom u tonu prema izboru investitora i silikoniziranje spojeva.",m′,48,11,528
3.,"Nabava materijala, dovoz i postavljanje zidnih keramičkih pločica pomoću fleksibilnog građevinskog ljepila. Keramičke pločice su I.klase. Visina oblaganja u kuhinji 150 cm a u kupatilima do vrha zida. U cijenu uključeno fugiranje keramičkih pločica fuger masom u tonu prema izboru investitora i ugradnju potrebnih Al kutnih lajsni.  Pločice se postavljaju pomoću distancera (baze) i pvc kajli.",m²,44.8,50,2240
4.,"Nabava materijala, dovoz i postavljanje podnih keramičkih pločica terase, pomoću fleksibilnog građevinskog ljepila. Keramičke pločice su I.klase. U cijenu uključeno fugiranje keramičkih pločica fuger masom u tonu prema izboru investitora.  Pločice se postavljaju pomoću distancera (baze) i pvc kajli.",m²,20.6,48,988.8
