,,,,,,
,,,,,,
,,,,,,
12.1.10.a.,"4-djelni prozor dimenzija 500/100 cm, u fasadnom panelu debljine 18 cm, s dva otklopna i dva krila spojena na sustav vatrodojave.
Sve prema shemi bravarije P3.
Mjesto ugradbe: skladište.",komplet,1,4350,4350,
12.1.10.b.,"4-djelni prozor dimenzija 500/100 cm, u fasadnom panelu debljine 18 cm, s jednim otklopnim i tri krila spojena na sustav vatrodojave.
Sve prema shemi bravarije P4.
Mjesto ugradbe: skladište.",komplet,1,5100,5100,
12.1.10.c.,"Jednokrilni prozor dimenzija 120/120 cm, u ab zidu debljine cca 27 cm s oblogom od ETICS fasade debljine 13 cm, spojen na sustav vatrodojave.
Sve prema shemi bravarije P7.
Mjesto ugradbe: stubište, podrum.",komplet,1,1670,1670,
,,,,UKUPNO:,11120,
,,,,,,
12.1.11.,"Trakasti i jednostruki prozori sa zaštitom od sunca
",,,,,
,"Dobava materijala, izrada, suha montaža, opremanje i završna obrada prozorske trake i jednostrukih prozora s otklopnim i/ili fiksnim krilima.
Okviri i krila izrađuju se od aluminijskih fasadnih profila s prekinutim toplinskim mostom, kao Metra NC 65 HES ili jednakovrijedno.
Koeficijent prolaska topline za sklop prozora Uw=1,55 W/m2K.
Ostakljenje IZO staklom: 44.2 low iron (laminirano staklo 4+4 mm, s PVB folijom debljine 0,76 mm + 16 mm šupljina ispunjena argonom + 44.2 mid iron (laminirano staklo 4+4 mm, s akustičnom PVB folijom debljine 0,76 mm); lowE. Koeficijent prolaska topline Ug=1,1 W/m2K. Ff=0,70, gokom.=0,60, Fc,H=1,00, Fc,C=0,50.
Ispuna eventualno punih polja prozorskih traka, npr. na pozicijama ispred stupova i/ili sl., izvodi se od kompaktnog aluminijskog panela punjenog ekstrudiranim polistirenom, debljine 5,0",,,,,
,"cm, Uw=1,55 W/m2K.
Stavka uključuje sve potrebne elemente pričvršćenja - slijepe dovratnike, spojne ploče i vijčani pribor u skladu s Eurospin standardom.
U jediničnoj cijeni stavke uključene su sve obrade priključaka prozora na konstrukciju građevine i druge sustave fasadne obloge - opšavi od aluminijskog lima završne obrade kao profili.
Završna obrada profila plastificiranjem u boji RAL 7043, gloss 20.
Prozor opremiti:
1. okovom za otklopno otvaranje krila;
2. ventus sustavom otvaranja krila pomoću ručnog upravljanja, ''kurbla'' kao Geze;
3. vanjskom klupčicom.
4. sustavom zaštite od sunca s rolo zavjesama, postavljenim s unutarnje strane. Isporuka i montaža ručne unutarnje filtrirne platnene rolete, sa specifičnim mehanizmom za rolo zavjese sa ručnim upravljanjem pomicanjem čeličnog",,,,,
,"lančića za aktiviranje role. Mehanizam opremljen kompenzacijskom oprugom integriranom u valjak, kako bi se omogućilo smanjenje napora potrebnog za podizanje rolete. Sustav u kompletu sa šipkom koja podupire valjak i osigurava brzo spajanje – odvajanje. Valjak izrađen od aluminijske legure A6063 S T5, promjera oko 36 mm, zajedno s utorom za umetanje tkanine za rolete. Profili i kape od plastike farbane istom bojom staklene stijene ili crnom bojom. Aluminizirana filterska tkanina u svijetlosivoj boji u dogovoru sa Eurospin Italia, sa sljedećim karakteristikama:
Vanjska sunčeva refleksija =74%,
Prosječni omjer otvaranja =2%
Emisivnost metalne strane =0,19
Adhezija metalnog premaza = klasa 0 prema ISO2409
Tkanina izrađena od 100% poliestera, bez PVC-a i staklenih vlakana. Reakcija na požar: IT – Klasa 1 prema UNI 9177, EU Klasa B-s2, d0 UNI EN 13501-1:2009. U kompletu s tračnicama i sajlama",,,,,
,"od nehrđajućeg čelika pričvršćenim na gornje i donje prečke, s obje strane sjenila. Proizvodi moraju imati CE certifikat.
Alternativno: Zaštita od sunca ALU žaluzinama na ručni pogon, kao Pellini Screen Line B ili jednakovr., sa žaluzinama širine 16 mm, bijele boje - S102.
Ugradnju izvesti prema smjernicama i pravilima RAL ugradnje i smjernicama dobavljača sistema. Stavka uključuje sve potrebne brtveće folije, bubreće trake i montažne pjene.
U stavci uključeno:
_ sav potreban spojni i montažni pribor;
_ zaštita PE folijom nakon ugradnje;
_ završno brtvljenje i popravci eventualnih oštećenja do pune estetske gotovosti.
Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - točka 12.1.11.
Obračun po kompletu.",,,,,
