,,,,,
,STAMBENA ZGRADA,,,,
,,,,,
,1. PRIPREMNI I ZEMLJANI RADOVI,,,,
,,,,,
3.,"Nabava, dovoz i pričvršćivanje paropropusne folije preko postavljenih jelovih letava.",m³,77,2,154
4.,"Nabava materijala, dovoz i pričvršćivanje jelovih letava dim.5x3 cm preko postavljenih jelovih letava 8x5 cm. U stavku uključen kompletan pričvrsni materijal i zaštitno sredstvo. (zračni prostor)",m²,77,10,770
5.,"Nabava materijala, dovoz i pričvršćivanje jelovih letava dim.5x3 cm preko jelovih letava 3x5 cm. U stavku uključen kompletan pričvrsni materijal i zaštitno sredstvo. Letve se postavljaju kao nosači crijepa.",m²,77,14,1078
6.,"Nabava, dovoz i prikivanje mediteran crijepa preko postavljenih letava. Crijep se prikiva pocinčanim čavlima dužine 5 cm.",m²,77,24,1848
7.,"Nabava, dovoz i postavljanje sljemenjača (površaljke) na grebenu krova, pomoću produžnog cementnog morta.",m',8.1,15,121.5
,,,,,
,KROVOPOKRIVAČKI RADOVI,,UKUPNO:,EURA,5511.5
,,,,,
,5. LIMARSKI RADOVI,,,,
,,,,,
1.,"Nabava materijala, izrada i postavljanje horizontalnih oluka od pocinčanog bojanog lima debljine 0,55 mm u pripremljeni betonski kanal. Razvijena širina lima je cca 70 cm. U stavku uključeni svi potrebni nosači, pričvrsni materijal i pribor.",m',18,28,504
2.,"Nabava materijala, izrada i postavljanje opšava zidića atike i pod kupu od pocinčanog bojanog lima debljine 0,55 mm. Razvijena širina opšava je cca 50 cm. U stavku uključeni svi potrebni nosači, pričvrsni materijal i pribor.",m',24,22,528
3.,"Nabava materijala, izrada i postavljanje vertikalnih oluka od pocinčanog bojanog lima debljine 0,55 mm. Cijevi promjera 100 mm. U stavku uključeni svi potrebni nosači, pričvrsni materijal i pribor.",m',35,18,630
,,,,,
,LIMARSKI RADOVI,,UKUPNO:,EURA,1662
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,R E K A P I T U L A C I J A,,,,
,,,,,
1., PRIPREMNI I ZEMLJANI RADOVI,……………………………,,,1172
,,,,,
2., BETONSKI I AB RADOVI,……………………………,,,47145.1
,,,,,
3., ZIDARSKI RADOVI,……………………………,,,15013.6
,,,,,
4., KROVOPOKRIVAČKI RADOVI,……………………………,,,5511.5
,,,,,
5., LIMARSKI RADOVI,……………………………,,,1662
,,,,,
,,,UKUPNO:,EURA,70504.2
,,,,,
,,,PDV 25%:,EURA,17626.05
,,,,,
,,,UKUPNO:,EURA,88130.25
