,,,,,,,,,,,
Prilog 4- Ugovorni troškovnik- TRIBE INŽENJERING d.o.o.,,,,,,,,,,,
31.03.2025.,,,,,,,,,,,
,,,,,,,,,,,
Kaufland Hrvatska k.d.,,,,,,,,,,,
"Donje svetice 14 10000 Zagreb, Hrvatska",,,,,,,,,,,
Broj telefona: 0994344287,,,,,,,,,,,
,,,,,,,,,,,
Projekt: Osijek-Retfala,,,,,,,,,,,
"Gradilište: Svilajska ul., 31000 Osijek",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Ukupni neto iznos,,,,,,,420442.01,,
,,Popust,4.3%,,,,,,-17942.01,,
,,Ukupni iznos s popustom,,,,,,,402500,,
,,Zakonska stopa PDV-a,0%,,,,,,0,,
,,Ukupni bruto iznos,,,,,,,402500,,
,,Gotovinski popust/Rok u danima,0%,0,,,,,0,,
,,Ukupni bruto iznos (s gotovinskim popustom),,,,,,,402500,,
,,,,,,,,,,,
,,,,,,,,,,,
Kod,Vrsta,Kratki opis,Dugi opis,Količina,Jedinica,Jedinična cijena,Ukupno,Stopa PDV-a,Ukupni bruto iznos,bidderInputLabels,
,,,,,,,,,,,
203.040.00115,,"- strojni široki iskop, zona zahvata prometnih površina i okoliša","Strojni široki iskop u zoni zahvata prometnih površina i okoliša, betonske dostavne rampe, trafostanice, EKW box-a, reklamnog pilona, reklamnog totema i cestovne oborinske kanalizacijske cijevi, u materijalu kategorije C prema OTU.
Izvedba radova, obračun radova I kontrola kvalitete prema OTU t. 2-01. i 2-02.
U jediničnu cijenu uračunati su svi radovi na iskopu materijala u sraslom stanju sa utovarnom u prijevozna sredstva , odvozom i zbrinjavanjem na ugovorenoj deponiji te sve mjere sigurnosti pri radu i sva potrebna osiguranja postojećih objekata i komunikacija te osiguranje kosina iskopa. Obračunato po m3 otkopanog materijala mjereno u sraslom stanju prema poprečnim profilima sve do potpune pogonske gotovosti.",1800,m3,9.8,17640,0%,17640,,0
203.050,,Iskop temelja,,,,0,32200.05,,32200.05,,
203.050.00100,,"- Iskop za temeljne stope, temeljne čašice i temeljne ploče","Strojni široki iskop za temeljnu konstrukciju u materijalu jednakom kao u stavci 203.040.00210
Izvedba radova, obračun radova I kontrola kvalitete prema OTU t. 2-01. i 2-02.
U jediničnu cijenu uračunati su svi radovi na iskopu materijala u sraslom stanju sa utovarnom u prijevozna sredstva , odvozom i zbrinjavanjem na ugovorenoj deponiji te sve mjere sigurnosti pri radu i sva potrebna osiguranja postojećih objekata i komunikacija te osiguranje kosina iskopa. Obračunato po m3 otkopanog materijala mjereno u sraslom stanju prema poprečnim profilima sve do potpune pogonske gotovosti.

Donja kota iskopa za temeljnje čašice ovisi o poziciji temelja:
- +87,75 m.n.v. (standardna dubina)
- +87,54 m.n.v. (u križanju osi 16D)
- +86,63 m.n.v. (na mjestu ulaza dostave)
- +87,41 m.n.v. (na križanju osi 11A)
- +89,25 m.n.v. (ispod temelja ulaznih vrata)
- +89,18 m.n.v. (ispod hladnjače za duboko zamrzavanje)
- +89,31 m.n.v. (ispod rashladnih prostorija za nareske)",3014.85,m3,9.8,29545.53,0%,29545.53,,0
203.050.00105,,- Iskop za temeljne grede,"Strojni široki iskop za temeljnu konstrukciju u materijalu jednakom kao u stavci 203.040.00210
Izvedba radova, obračun radova I kontrola kvalitete prema OTU t. 2-01. i 2-02.
U jediničnu cijenu uračunati su svi radovi na iskopu materijala u sraslom stanju sa utovarnom u prijevozna sredstva , odvozom i zbrinjavanjem na ugovorenoj deponiji te sve mjere sigurnosti pri radu i sva potrebna osiguranja postojećih objekata i komunikacija te osiguranje kosina iskopa. Obračunato po m3 otkopanog materijala mjereno u sraslom stanju prema poprečnim profilima sve do potpune pogonske gotovosti.

Dubina iskopa do +89,05 m.n.v.",50,m3,9.8,490,0%,490,,0
203.050.00110,,- ravnanje i sabijanje građevinske jame,"Dno građevne jame treba nakon iskapanja poravnati i sabiti. Izvođenje neposredno prije unošenja čistog sloja kao ravne površine s maksimalnom visinskom razlikom od +/-2 cm na duljini od 5,0 m, uključujući vibriranje odgovarajućim uređajem. Sabijanje na najmanje 97 % traženog stupnja sabijenosti Dpr. Višak materijal treba zbrinuti.",1278,m2,1.69368035459812,2164.52,0%,2164.52,,0
203.060,,Iskop cijevnog rova,,,,0,73118.5,,73118.5,,
203.060.00100,,- Iskop zemlje svih kategorija ili nasipanog materijala za rovove. Obračun po m3.,"Iskop zemlje svih kategorija ili nasipanog materijala za polaganje kanalizacijskih i vodovodnih cijevi. Širina rova je od 0.80 do 1,20 m, a dubina od 0,6 do 2,0 m. Uzima se prosječna dubina iskopa (1,3m) na ukupnoj trasi od izvedenog skidanja postojećeg materijala na terenu obrađeno u pripremi građevinskog zemljišta do nivelete cjevovoda.
'Iskop vršiti na dubini nivelete uvećanoj za 10 cm radi izvedbe ležaja cijevi, s pravilnim odsijecanjem bočnih strana i dna, te odbacivanjem iskopanog materijala na udaljenost 2,0 m od ruba rova.
_oborinska kanalizacija
_fekalna kanalizacija
_vodovodna i hidrantska mreža
_hidrantska mreža
_odvodnja masne kanalizacije
_odvodnja kondenzata
U stavku je uključen i odvoz i zbrinjavanje viška materijala iz iskopa po nalogu investitora. Obračun po m3.",650,m3,13.5,8775,0%,#VALUE!,,0
203.060.00105,,"- Iskop zemlje svih kategorija za podzemne građevine. 
Obračun po m3.","Iskop zemlje svih kategorija za podzemne građevine: kontrolno mjerno okno, reviziona okna, prepumpna okno, separator masti i separator ulja, vodomjerno okno te hidrante. Obračun se vrši po 1,0 m3 iskopanog materijala, ostalo kao opis iz predhodne stavke
_Reviziona okna (12+7+3+2)*8m3
_Separator ulja -
_Mastolov 1*28m3
_Vodomjerno okno 1*60m3
_Vanjski hidrant 3*3m3
_Retencija 1122m3
U stavku je uključen i odvoz i zbrinjavanje viška materijala iz iskopa po nalogu investitora. Obračun po m3.",1411,m3,9.8,13827.8,0%,#VALUE!,,0
203.060.00110,,"- Planiranje dna rova za polaganje cijevi u rov.
Obračun po m2.",Grubo i fino planiranje dna rova za polaganje cijevi temeljne odvodnje i vodovoda s naročitom točnošću da se osigura pravilno nalijeganje cijevi.,650,m2,1.69368035459812,1100.89,0%,#VALUE!,,0
203.060.00115,,"- Pijesak za polaganje instalacija.
Obračun po m3.","Nabava, doprema i razastiranje čistog suhog pijeska za polaganje kanalizacijskih i vodovodnih cijevi. Šljunčana posteljica za ležaj PVC cijevi od oblih zrna veličine 8-16 mm, bez organskih primjesa, s dimenzijama danim u nacrtu kanalskog rova i produbljenima na mjestu spojeva cijevi. Uključivo nabava, doprema i ugradnja šljunka, uz strojno nabijanje do min. 90 % prirodne zbijenosti. Posteljica natkrivanja cijevi cca 5 cm od tjemena cijevi. Obračun se vrši po 1,0 m3 ugrađenog pijeska.
_kanalizacija 340 m
_vodovod 160 m",250,m3,35.5672874465606,8891.82,0%,#VALUE!,,0
