,,,,,,,,,,,
Prilog 4- Ugovorni troškovnik- TRIBE INŽENJERING d.o.o.,,,,,,,,,,,
31.03.2025.,,,,,,,,,,,
,,,,,,,,,,,
Kaufland Hrvatska k.d.,,,,,,,,,,,
"Donje svetice 14 10000 Zagreb, Hrvatska",,,,,,,,,,,
Broj telefona: 0994344287,,,,,,,,,,,
,,,,,,,,,,,
Projekt: Osijek-Retfala,,,,,,,,,,,
"Gradilište: Svilajska ul., 31000 Osijek",,,,,prijedlog cijena,,,,,,
,,,,,,,,,,,
701,Vanjske površine,,,,,,,,,,
701.000,Prethodne napomene,,,,,,,,,,
,,,,,,,,,,,
701.020,Montažni potporni zid,,,,,,,,,,
701.050,Opločenje,,,,,,,,,,
701.050.00100,- opločenje 6 cm,"Popločani sloj od betonskih opločnika prema DIN EN 1338, otporan na smrzavanje i sol, isporučiti, postaviti na jednakoj visini u sloju oštrog pijeska Ø4-8mm debljine 3-5 cm, ispuniti pijeskom dok se ne popune sve fuge, otresti, po potrebi ponovo obraditi pijeskom i nakon toga ukloniti prekomjerni pijesak, uklj. prilagođene rezove.

Boja: siva
Površina: s oštrim rubovima ili mikro kosinom
Dimenzije kamena: 20/20 x 6 cm ili 10/20 x 6 cm
Tlačna otpornost: min. 60 N/mm2
Način polaganja: Na pola dužine
Dozvoljena visinska odstupanja: +/- 2 cm od zadane vrijednosti i +/-1 cm na ispitnoj dionici od 4 m",310.78,m2,47.45,14746.51,0%,14746.51,,0,
701.050.00105,"x..FB10..x - ulazni prostor za popločavanje, opločenje debjine 6cm, teflonski premaz","Popločani sloj od betonskih opločnika prema DIN EN 1338, otporan na smrzavanje i sol, isporučiti, postaviti na jednakoj visini na u sloju oštrog pijeska Ø4-8mm debljine 3-5 cm, ispuniti pijeskom dok se ne popune sve fuge, otresti, po potrebi ponovo obraditi pijeskom i nakon toga ukloniti prekomjerni pijesak, uklj. prilagođene rezove.

Boja: antracit
Površina: s oštrim rubovima ili mikro kosinama, plastični teflon premaz
Dimenzije kamena: 16/24 x 8 cm
Tlačna otpornost: min. 60 N/mm2
Način polaganja: 1/3 spoj
Dozvoljena visinska odstupanja: +/- 2 cm od zadane vrijednosti i +/-1 cm na ispitnoj dionici od 4 m
Referentni proizvodi: sukladno Kauflandovom opisu gradilišta",81.43,m2,47.45,3863.85,0%,3863.85,,0,"KAKO U REPUBLICI HRVATSKOJ NISMO USPJELI NAĆI OPLOČNIKE SA TEFLONSKIM PREMAZOM, PREDMETNE OPLOČNIKE NUDIMO BEZ TEFLONSKOG PREMAZA"
,,,,,,,,,,,
UKUPNO OPLOČENJE,,,,,,18610.36,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
701.060,Asfaltna površina,,,,,,,,,,
701.060.00100,x..FH1..x - asfaltni kolni prilazi za automobile,"Izvedba kolnika parkirališta osobnih vozila ukupne debljine 8cm. Kolnička konstrukcija sastoji se od:
AC 32 base, BIT 50/70 AG6 M2, debljine d=5cm
AC 11 surf, BIT 50/70 AG4 M3, debljine d=3cm.
Ova stavka obuhvaća:
- dobavu i dopremu asfaltne mješavine
- čišćenje i prskanje podloge za AC 32 base i AC 11 surf
- razastiranje, valjanje i njega AC 32 base i AC 11 surf
Obuhvaćen je sav materijal, rad i alat na izradi sloja kao i sva potrebna tekuća i kontrolna ispitivanja s izradom atesta za dokaz kvalitete ugrađenog sloja. Izrada radova, obračun radova i kontrola kvalitete prema Razradi tehničkih svojstava i zahtjeva za građevne proizvode za proizvodnju asfaltnih mješavina i za asfaltne slojeve kolnika HC,lipanj 2015. i prilozima ovog projekta.
Izvedbi habajućeg sloja može se prići nakon ispitanog i po nadzornom inženjeru preuzetom donjem nosivom sloju.
Obračunato po m2 ugrađenog sloja, sve do potpune pogonske gotovosti.",4700,m2,18.45,86715,0%,86715,,0,
701.060.00105,x..FH1..x - asfaltni kolni prilazi za automobile,"Izvedba kolnika parkirališta osobnih vozila ukupne debljine 12cm. Kolnička konstrukcija sastoji se od:
AC 32 base, BIT 50/70 AG6 M2, debljine d=8cm
AC 11 surf, BIT 50/70 AG4 M3, debljine d=4cm.
Ova stavka obuhvaća:
- dobavu i dopremu asfaltne mješavine
- čišćenje i prskanje podloge za AC 32 base i AC 11 surf
- razastiranje, valjanje i njega AC 32 base i AC 11 surf
Obuhvaćen je sav materijal, rad i alat na izradi sloja kao i sva potrebna tekuća i kontrolna ispitivanja s izradom atesta za dokaz kvalitete ugrađenog sloja. Izrada radova, obračun radova i kontrola kvalitete prema Razradi tehničkih svojstava i zahtjeva za građevne proizvode za proizvodnju asfaltnih mješavina i za asfaltne slojeve kolnika HC,lipanj 2015. i prilozima ovog projekta.
Izvedbi habajućeg sloja može se prići nakon ispitanog i po nadzornom inženjeru preuzetom donjem nosivom sloju.
Obračunato po m2 ugrađenog sloja, sve do potpune pogonske gotovosti.",1051.66,m2,26.47,27837.44,0%,27837.44,,0,
701.060.00110,- asfaltne pješačke staze,"Izvedba asfaltnih pješačkih staza ukupne debljine 9cm. Asfaltna konstrukcija sastoji se od:
AC 16 base, BIT 50/70 AG6 M2, debljine d=6cm
AC 8 surf, BIT 50/70 AG4 M3, debljine d=3cm.
Ova stavka obuhvaća:
- dobavu i dopremu asfaltne mješavine
- čišćenje i prskanje podloge za AC 16 base i AC 8 surf
- razastiranje, valjanje i njega AC 16 base i AC 8 surf
Obuhvaćen je sav materijal, rad i alat na izradi sloja kao i sva potrebna tekuća i kontrolna ispitivanja s izradom atesta za dokaz kvalitete ugrađenog sloja. Izrada radova, obračun radova i kontrola kvalitete prema Razradi tehničkih svojstava i zahtjeva za građevne proizvode za proizvodnju asfaltnih mješavina i za asfaltne slojeve kolnika HC,lipanj 2015. i prilozima ovog projekta.
Izvedbi habajućeg sloja može se prići nakon ispitanog i po nadzornom inženjeru preuzetom donjem nosivom sloju.
Obračunato po m2 ugrađenog sloja, sve do potpune pogonske gotovosti.",114.8,m2,22.18,2546.26,0%,2546.26,,0,
,,,,,,,,,,,
UKUPNO ASFALT,,,,,,117098.7,,,,,
,,,,,,,,,,,
UKUPNO RADOVI:,,,,,,165683.27,,,,,
