,,,,,
,A. GRAĐEVINSKI RADOVI,,,,
,,,,,
A.03.14,"Nabava materijala, dovoz, montaža dvostrane glatke daščane oplate i betoniranje horizontalnih serklaža, betonom C25/30. Serklaže armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona. Presjek betona je 25x20 cm. Serklaži na zidu koji je ozidan na izbetoniranoj ab ploči iznad prizemlja.",m³,2.2,,
,,,,,
,A. 03. BETONSKI I AB RADOVI:     Kuna,,,,
,,,,,
,A. 04. ARMIRAČKI RADOVI,,,,
,,,,,
,Opći i posebni uvjeti sastavni dio su ovog troškovnika. Sve navedeno u općim uvjetima što utječe na ukupnu cijenu obavezno ukalkulirati u jediničnu cijenu svake pojedine stavke troškovnika. Naknadni zahtjevi nakon ugovaranja neće se priznavati.,,,,
,"Betonsko željezo mora odgovarati tehničkim propisima, te mora biti savijeno i uredno položeno prema statičkim nacrtima. Željezo po planu savijanja mora biti od jednog komada, ne smije se spajati od dva ili više kraćih komada. Željezo očistiti prije betoniranje, dobro povezati i podložiti da se nakon skidanja oplate ne vidi na površini betona. Prije betoniranja treba izvršiti pregled i preuzimanje armature od nadzornog inženjera, a kod složenih konstrukcija provjeru može izvršiti i statičar. Nakon pregleda upisati u građevinski dnevnik. Kvaliteta čelika za armiranje je B500B.",,,,
A.04.1,"Nabava, dovoz, izmjera, sječenje, savijanje, vezanje i ugradnja armature. Armatura za temeljne konstrukcije, AB zidove, međukatne ravne i kose ploče, stubišta, grede i ostale ab konstrukcije. Izvesti sve prema planu armature. Obračun kolčine armature prema planu armature što znači da je obračunata netto armatura ugrađena u betonski presjek. U jediničnu cijenu uključiti sav otpadni materijal i rad. Kolčine u troškovniku dane su aproksimativno dok će se točne kolčine utvrditi u iskazu armature.",kg,9000,,
,,,,,
,A. 04. ARMIRAČKI RADOVI:     Kuna,,,,
,,,,,
,A. 05. ZIDARSKI RADOVI,,,,
,,,,,
,Opći i posebni uvjeti sastavni dio su ovog troškovnika. Sve navedeno u općim uvjetima što utječe na ukupnu cijenu obavezno ukalkulirati u jediničnu cijenu svake pojedine stavke troškovnika. Naknadni zahtjevi nakon ugovaranja neće se priznavati.,,,,
A.05.1,"Nabava materijala, dovoz i krpljenje šliceva nakon izvedbe instalaterskih radova. Šliceve krpiti u dva sloja cementnim mortom Rofix 620.",kom,1,,
A.05.2,"Nabava materijala, dovoz i zidanje nosivih zidova blok opekom kao POROTHERM 25, dim. 250x375x238 cm u produžnom cementnom mortu marke MM-25. U cijenu je uključen sav rad i materijal, pomoćna sredstva, oplata i pomoćni materijali, zapunjavanje fuga, rezanje blok opeka za zidarski vez, završna obrada vertikalnih špaleta otvora, kao i poklopnih ploha prozorskih parapeta (podrazumjeva se ravna zaglađena površina), te potrebna radna skela. Prvi red blokova potrebno je postaviti na idealno ravan u oba smjera sloj cementnog morta 1:2 debljine 2-5 cm ovisno o točnosti izvedene podloge. Prilikom zudanja nije dozvoljeno preklapanje vertikalnih sljubnica. U cijeni sav rad i materijal po uputi proizvođača do potpune gotovosti. U cijeni je uključena potrebna pokretna radna skela visine 2-3 metra i čišćenje radnog mjesta nakon završetka radova. Obračun po m3 izvedenog zida.",m³,32,,
